Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
U 417 †,Norrsunda kyrka,Norrsunda sn,Ärlinghundra hd,Sigtuna,6610054,1617902,?,,sten
U 433,Husby-Ärlinghundra kyrka,Husby-Ärlinghundra sn,Ärlinghundra hd,Sigtuna,6615178,1617150,Pr4?,,sten
U 434 $,Husby-Ärlinghundra kyrka,Husby-Ärlinghundra sn,Ärlinghundra hd,Sigtuna,6615205,1617075,?,,sten
U 435,Husby-Ärlinghundra kyrka,Husby-Ärlinghundra sn,Ärlinghundra hd,Sigtuna,6615195,1617150,Pr2,,sten
U 440 $,Odensala kyrka,Odensala sn,Ärlinghundra hd,Sigtuna,6617984,1615263,,,sten
U 470,Knivsta kyrka,Knivsta sn,Ärlinghundra hd,Knivsta,6622960,1612209,?,Torbjörn 2 (A),sten
U 481,Lagga kyrka,Lagga sn,Långhundra hd,Knivsta,6632532,1614207,Pr4,Fot 2 (A),sten
U 494,Husby-Långhundra kyrka,Husby-Långhundra sn,Långhundra hd,Knivsta,6627742,1624380,Pr3?,Åsmund (L),sten
U 495,Husby-Långhundra kyrka,Husby-Långhundra sn,Långhundra hd,Knivsta,6627739,1624355,Pr3,,sten
U 501 $,Närtuna kyrka,Närtuna sn,Långhundra hd,Norrtälje,6621616,1632124,Pr5,Öpir 1 (A),sten
U 505,Kårsta kyrka,Kårsta sn,Långhundra hd,Vallentuna,6617254,1637314,Pr4?,Sven 3 (S); Sten (A),sten
U 513,Rimbo kyrka,Rimbo sn,Sjuhundra hd,Norrtälje,6628326,1645357,Pr2,Torbjörn skald (A) [Källström 1999:56ff],sten
U 514,Rimbo kyrka,Rimbo sn,Sjuhundra hd,Norrtälje,6628322,1645325,Pr4,,sten
U 515,Rimbo kyrka,Rimbo sn,Sjuhundra hd,Norrtälje,6628332,1645281,Pr4,Torsten (A) [Källström 2007a:269],sten
U 516 †,Rimbo kyrka,Rimbo sn,Sjuhundra hd,Norrtälje,6628529,1645728,?,,sten
U 517 $,Skederids kyrka,Skederids sn,Sjuhundra hd,Norrtälje,6626784,1651659,Pr2,Torbjörn skald (A) [Källström 1999:58ff],sten
U 521 †,Länna kyrka,Länna sn,Frötuna och Länna skeppslag,Norrtälje,6621500,1657876,?,,sten
U 526,Frötuna kyrka,Frötuna sn,Frötuna och Länna skeppslag,Norrtälje,6628126,1661355,?,,sten
U 527 $,Frötuna kyrka,Frötuna sn,Frötuna och Länna skeppslag,Norrtälje,6628126,1661370,Pr3,Holmsten (S); Vidbjörn (A) ? [Stille 1999b:139],sten
U 532,Roslags-Bro kyrka,Roslags-Bro sn,Bro och Vätö skeppslag,Norrtälje,6638087,1664403,Pr1?,Torbjörn skald (S),sten
U 533,Roslags-Bro kyrka,Roslags-Bro sn,Bro och Vätö skeppslag,Norrtälje,6638093,1664395,Pr1,Torbjörn skald (A),sten
U 534,Roslags-Bro kyrka,Roslags-Bro sn,Bro och Vätö skeppslag,Norrtälje,6638093,1664395,?,,sten
U 535,Roslags-Bro kyrka,Roslags-Bro sn,Bro och Vätö skeppslag,Norrtälje,6638093,1664395,Pr3,,sten
U 536,Roslags-Bro kyrka,Roslags-Bro sn,Bro och Vätö skeppslag,Norrtälje,6638093,1664395,?,,sten
U 539,Husby-Lyhundra kyrka (nu: Husby-Sjuhundra),Husby-Lyhundra sn (nu Husby-Sjuhundra),Lyhundra hd,Norrtälje,6627628,1653212,RAK,Samma som gjort U 323 och U 518; Gunnar (A),sten
U 540,Husby-Lyhundra kyrka (nu: Husby-Sjuhundra),Husby-Lyhundra sn (nu Husby-Sjuhundra),Lyhundra hd,Norrtälje,6627657,1653206,Pr4,Åsmund (A); Torbjörn skald (A); Torfast (A),sten
U 541 $,Husby-Lyhundra kyrka (nu: Husby-Sjuhundra),Husby-Lyhundra sn (nu Husby-Sjuhundra),Lyhundra hd,Norrtälje,6627662,1653209,Pr5,Öpir 1 (S),sten
